x,y
-233.797,-595.119
-233.797,595.119
-233.797,616.373
-212.542,-616.373
-212.542,616.373
-191.288,-616.373
-191.288,616.373
-63.7627,-42.5085
-63.7627,-21.2542
-63.7627,-8.17124e-14
-63.7627,21.2542
-63.7627,42.5085
-42.5085,-63.7627
-42.5085,-42.5085
-42.5085,-21.2542
-42.5085,-8.17124e-14
-42.5085,21.2542
-42.5085,42.5085
-42.5085,63.7627
-21.2542,-63.7627
-21.2542,-42.5085
-21.2542,-21.2542
-21.2542,-8.17124e-14
-21.2542,21.2542
-21.2542,42.5085
-21.2542,63.7627
-8.17124e-14,-63.7627
-8.17124e-14,-42.5085
-8.17124e-14,-21.2542
-8.17124e-14,-8.17124e-14
-8.17124e-14,21.2542
-8.17124e-14,42.5085
-8.17124e-14,63.7627
21.2542,-63.7627
21.2542,-42.5085
21.2542,-21.2542
21.2542,-8.17124e-14
21.2542,21.2542
21.2542,42.5085
21.2542,63.7627
42.5085,-63.7627
42.5085,-42.5085
42.5085,-21.2542
42.5085,-8.17124e-14
42.5085,21.2542
42.5085,42.5085
42.5085,63.7627
63.7627,-42.5085
63.7627,-21.2542
63.7627,-8.17124e-14
63.7627,21.2542
63.7627,42.5085
85.0169,-42.5085
85.0169,-21.2542
85.0169,-8.17124e-14
85.0169,21.2542
85.0169,42.5085
106.271,-21.2542
106.271,-8.17124e-14
106.271,21.2542
191.288,-616.373
191.288,616.373
212.542,-616.373
212.542,616.373
233.797,-616.373
233.797,-595.119
233.797,595.119
233.797,616.373
255.051,-616.373
255.051,-595.119
255.051,595.119
255.051,616.373
276.305,-616.373
276.305,-595.119
276.305,-573.864
276.305,573.864
276.305,595.119
276.305,616.373
297.559,-616.373
297.559,-595.119
297.559,-573.864
297.559,-552.61
297.559,552.61
297.559,573.864
297.559,595.119
297.559,616.373
318.814,-616.373
318.814,-595.119
318.814,-573.864
318.814,-552.61
318.814,552.61
318.814,573.864
318.814,595.119
318.814,616.373
340.068,-616.373
340.068,-595.119
340.068,-573.864
340.068,-552.61
340.068,-531.356
340.068,531.356
340.068,552.61
340.068,573.864
340.068,595.119
340.068,616.373
361.322,-616.373
361.322,-595.119
361.322,-573.864
361.322,-552.61
361.322,-531.356
361.322,531.356
361.322,552.61
361.322,573.864
361.322,595.119
361.322,616.373
382.576,-616.373
382.576,-595.119
382.576,-573.864
382.576,-552.61
382.576,-531.356
382.576,-510.102
382.576,510.102
382.576,531.356
382.576,552.61
382.576,573.864
382.576,595.119
382.576,616.373
403.831,-616.373
403.831,-595.119
403.831,-573.864
403.831,-552.61
403.831,-531.356
403.831,-510.102
403.831,510.102
403.831,531.356
403.831,552.61
403.831,573.864
403.831,595.119
403.831,616.373
425.085,-616.373
425.085,-595.119
425.085,-573.864
425.085,-552.61
425.085,-531.356
425.085,-510.102
425.085,-488.847
425.085,488.847
425.085,510.102
425.085,531.356
425.085,552.61
425.085,573.864
425.085,595.119
425.085,616.373
446.339,-616.373
446.339,-595.119
446.339,-573.864
446.339,-552.61
446.339,-531.356
446.339,-510.102
446.339,-488.847
446.339,-467.593
446.339,467.593
446.339,488.847
446.339,510.102
446.339,531.356
446.339,552.61
446.339,573.864
446.339,595.119
446.339,616.373
467.593,-616.373
467.593,-595.119
467.593,-573.864
467.593,-552.61
467.593,-531.356
467.593,-510.102
467.593,-488.847
467.593,-467.593
467.593,-446.339
467.593,446.339
467.593,467.593
467.593,488.847
467.593,510.102
467.593,531.356
467.593,552.61
467.593,573.864
467.593,595.119
467.593,616.373
488.847,-616.373
488.847,-595.119
488.847,-573.864
488.847,-552.61
488.847,-531.356
488.847,-510.102
488.847,-488.847
488.847,-467.593
488.847,-446.339
488.847,-425.085
488.847,425.085
488.847,446.339
488.847,467.593
488.847,488.847
488.847,510.102
488.847,531.356
488.847,552.61
488.847,573.864
488.847,595.119
488.847,616.373
510.102,-616.373
510.102,-595.119
510.102,-573.864
510.102,-552.61
510.102,-531.356
510.102,-510.102
510.102,-488.847
510.102,-467.593
510.102,-446.339
510.102,-425.085
510.102,-403.831
510.102,-382.576
510.102,382.576
510.102,403.831
510.102,425.085
510.102,446.339
510.102,467.593
510.102,488.847
510.102,510.102
510.102,531.356
510.102,552.61
510.102,573.864
510.102,595.119
510.102,616.373
531.356,-616.373
531.356,-595.119
531.356,-573.864
531.356,-552.61
531.356,-531.356
531.356,-510.102
531.356,-488.847
531.356,-467.593
531.356,-446.339
531.356,-425.085
531.356,-403.831
531.356,-382.576
531.356,-361.322
531.356,-340.068
531.356,340.068
531.356,361.322
531.356,382.576
531.356,403.831
531.356,425.085
531.356,446.339
531.356,467.593
531.356,488.847
531.356,510.102
531.356,531.356
531.356,552.61
531.356,573.864
531.356,595.119
531.356,616.373
552.61,-616.373
552.61,-595.119
552.61,-573.864
552.61,-552.61
552.61,-531.356
552.61,-510.102
552.61,-488.847
552.61,-467.593
552.61,-446.339
552.61,-425.085
552.61,-403.831
552.61,-382.576
552.61,-361.322
552.61,-340.068
552.61,-318.814
552.61,-297.559
552.61,297.559
552.61,318.814
552.61,340.068
552.61,361.322
552.61,382.576
552.61,403.831
552.61,425.085
552.61,446.339
552.61,467.593
552.61,488.847
552.61,510.102
552.61,531.356
552.61,552.61
552.61,573.864
552.61,595.119
552.61,616.373
573.864,-616.373
573.864,-595.119
573.864,-573.864
573.864,-552.61
573.864,-531.356
573.864,-510.102
573.864,-488.847
573.864,-467.593
573.864,-446.339
573.864,-425.085
573.864,-403.831
573.864,-382.576
573.864,-361.322
573.864,-340.068
573.864,-318.814
573.864,-297.559
573.864,-276.305
573.864,276.305
573.864,297.559
573.864,318.814
573.864,340.068
573.864,361.322
573.864,382.576
573.864,403.831
573.864,425.085
573.864,446.339
573.864,467.593
573.864,488.847
573.864,510.102
573.864,531.356
573.864,552.61
573.864,573.864
573.864,595.119
573.864,616.373
595.119,-616.373
595.119,-595.119
595.119,-573.864
595.119,-552.61
595.119,-531.356
595.119,-510.102
595.119,-488.847
595.119,-467.593
595.119,-446.339
595.119,-425.085
595.119,-403.831
595.119,-382.576
595.119,-361.322
595.119,-340.068
595.119,-318.814
595.119,-297.559
595.119,-276.305
595.119,-255.051
595.119,-233.797
595.119,233.797
595.119,255.051
595.119,276.305
595.119,297.559
595.119,318.814
595.119,340.068
595.119,361.322
595.119,382.576
595.119,403.831
595.119,425.085
595.119,446.339
595.119,467.593
595.119,488.847
595.119,510.102
595.119,531.356
595.119,552.61
595.119,573.864
595.119,595.119
595.119,616.373
616.373,-616.373
616.373,-595.119
616.373,-573.864
616.373,-552.61
616.373,-531.356
616.373,-510.102
616.373,-488.847
616.373,-467.593
616.373,-446.339
616.373,-425.085
616.373,-403.831
616.373,-382.576
616.373,-361.322
616.373,-340.068
616.373,-318.814
616.373,-297.559
616.373,-276.305
616.373,-255.051
616.373,-233.797
616.373,-212.542
616.373,-191.288
616.373,191.288
616.373,212.542
616.373,233.797
616.373,255.051
616.373,276.305
616.373,297.559
616.373,318.814
616.373,340.068
616.373,361.322
616.373,382.576
616.373,403.831
616.373,425.085
616.373,446.339
616.373,467.593
616.373,488.847
616.373,510.102
616.373,531.356
616.373,552.61
616.373,573.864
616.373,595.119
616.373,616.373
